CODE	TITLE 	LANGUAGE
SLPS-01986 	 0 KARA NO SHOGI - SHOGI YOUCHIEN AYUMI-GUMI [LIMITED EDITION] 	 [J]
SLPS-02044 	 0 KARA NO SHOGI - SHOGI YOUCHIEN AYUMI-GUMI 	 [J]
SLPS-02920 	 0 KARA NO SHOGI - SHOGI YOUCHIEN AYUMI-GUMI R 	 [J]
SLPS-02604 	 007 - TOMORROW NEVER DIES 	 [J]
SLPS-01730 	 100 MANYEN QUIZ HUNTER 	 [J]
SLPS-01054 	 10101 - WILL THE STARSHIP 	 [J]
SLPS-01865 	 19:03 AGANO HATSU YAKOU RESSHA 	 [J]
SLPS-02881 	 19:03 AGANO HATSU YAKOU RESSHA [RERELEASE] 	 [J]
SLPS-01706 	 1 ON 1 	 [J]
SLPS-02298 	 1 ON 1 [RERELEASE] 	 [J]
SLPS-02348 	 20 SEIKI STRIKER RETSUDEN - THE 20TH CENTURY'S STRIKERS 	 [J]
SLPS-02857 	 20 SEIKI STRIKER RETSUDEN - THE 20TH CENTURY'S STRIKERS [REPRINT] 	 [J]
SLPS-91416 	 20 SEIKI STRIKER RETSUDEN - THE 20TH CENTURY'S STRIKERS [PSONE BOOKS] 	 [J]
SCPS-19004 	 2999 GAME KIDS [PLAYSTATION COMIC] 	 [J]
SLPS-00693 	 3D BASEBALL - THE MAJORS 	 [J]
SLPS-01434 	 3D KAKUTOU TSUKURU 	 [J]
SLPS-00461 	 3D MISSION SHOOTING FINALIST 	 [J]
SLPS-00654 	 3D SHOOTING TSUKURU 	 [J]
SLPS-00071	 3X3 EYES - KYUUSEI KOUSHU  -  [ 2 DISCS ] 	 [J]
SLPS-00072 	 3X3 EYES - KYUUSEI KOUSHU  -  [ 2 DISCS ] 	 [J]
SLPS-01497	 3X3 EYES - TENRINOU GENMU  -  [ 3 DISCS ] 	 [J]
SLPS-01498	 3X3 EYES - TENRINOU GENMU  -  [ 3 DISCS ] 	 [J]
SLPS-01499 	 3X3 EYES - TENRINOU GENMU  -  [ 3 DISCS ] 	 [J]
SLPS-01995	 70'S ROBOT ANIME - GEPPY-X - THE SUPER BOOSTED ARMOR  -  [ 4 DISCS ] 	 [J]
SLPS-01996	 70'S ROBOT ANIME - GEPPY-X - THE SUPER BOOSTED ARMOR  -  [ 4 DISCS ] 	 [J]
SLPS-01997	 70'S ROBOT ANIME - GEPPY-X - THE SUPER BOOSTED ARMOR  -  [ 4 DISCS ] 	 [J]
SLPS-01998 	 70'S ROBOT ANIME - GEPPY-X - THE SUPER BOOSTED ARMOR  -  [ 4 DISCS ] 	 [J]
SLPS-01204 	 '98 KOSHIEN 	 [J]
SLPS-03086 	 '98 KOSHIEN [MAGICAL 1500 SERIES] 	 [J]
SLPS-02110 	 '99 KOSHIEN 	 [J]
